severity_score,priority_tier,sla_tier_hours,queue_size,regulatory_flag,vip_customer,channel_is_digital,hour_of_day,sla_breached
0.639,1,48,7,0,0,1,17,0
0.422,1,5,6,0,0,1,22,0
0.545,2,72,18,0,0,0,5,0
0.34,2,24,30,0,0,1,11,0
0.604,1,72,17,0,0,1,9,0
0.619,3,24,22,1,0,0,2,1
0.866,4,48,14,0,0,1,6,1
0.702,1,24,17,0,0,1,20,1
0.22,3,5,7,0,0,1,2,1
0.943,3,24,20,0,0,1,4,1
0.247,5,48,23,0,0,1,7,0
0.138,4,5,24,1,0,1,21,1
0.064,4,72,16,0,0,0,21,0
0.682,5,48,24,0,0,1,14,1
0.722,3,24,16,0,0,1,20,1
0.199,3,24,17,0,0,0,19,0
0.019,3,48,7,1,0,0,2,0
0.816,5,24,4,0,0,1,16,1
0.423,2,24,22,0,0,1,14,0
0.451,2,24,2,0,0,1,7,0
0.708,1,24,2,0,0,1,7,0
0.485,5,24,23,0,0,1,15,1
0.19,1,72,11,0,0,1,21,0
0.646,1,72,23,0,0,1,6,0
0.14,2,48,14,0,0,1,17,0
0.652,5,5,2,0,0,1,15,1
0.865,1,24,12,1,0,0,14,1
0.697,5,72,4,0,0,1,23,0
0.748,1,5,18,0,0,1,1,1
0.08,2,5,19,1,0,1,18,1
0.595,5,5,13,0,0,1,8,1
0.716,2,48,12,0,0,1,2,1
0.621,5,5,2,0,0,1,11,1
0.879,3,48,5,0,0,1,20,1
0.668,5,48,29,0,0,1,3,1
0.742,2,48,9,0,0,1,20,0
0.505,3,5,2,0,0,1,10,1
0.637,3,24,23,0,0,1,3,1
0.883,2,5,26,0,0,1,1,1
0.899,1,48,6,0,0,1,17,0
0.406,5,24,29,0,0,0,5,1
0.025,3,72,25,0,0,1,5,0
0.108,1,72,7,0,0,1,7,0
0.66,4,48,8,0,0,1,20,1
0.68,5,48,30,1,0,1,18,1
0.265,1,72,11,0,0,1,16,0
0.9,2,48,1,0,1,0,17,0
0.94,2,48,13,1,0,1,10,1
0.125,3,48,21,0,0,1,4,0
0.665,4,24,19,0,0,0,9,1
0.43,5,48,14,0,0,1,23,1
0.085,5,48,2,0,0,1,7,0
0.147,1,24,15,0,0,1,20,0
0.718,4,72,12,0,0,1,3,0
0.219,5,72,1,0,0,1,4,0
0.668,5,48,30,0,0,0,16,1
0.907,4,24,23,0,0,0,20,1
0.778,4,24,8,0,0,1,10,1
0.54,2,24,7,0,0,1,13,0
0.543,4,5,6,0,0,0,22,1
0.881,5,72,15,1,0,0,13,1
0.735,5,24,15,0,0,1,10,1
0.798,2,72,29,0,0,1,12,1
0.663,1,72,4,0,0,1,10,0
0.327,4,48,24,0,0,0,15,1
0.539,3,24,20,1,0,1,0,1
0.199,1,24,7,0,0,1,6,0
0.256,3,24,19,0,0,1,5,0
0.108,1,48,18,0,0,1,22,0
0.592,2,5,22,0,0,1,3,1
0.566,1,48,17,0,0,1,10,0
0.42,4,5,13,0,0,0,22,1
0.176,5,48,19,0,0,1,13,0
0.592,3,24,26,0,0,1,14,1
0.668,3,5,15,0,0,1,8,1
